study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
PRJNA720479	SAMN18651831	SRX10548191	SRR14180035	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/035/SRR14180035/SRR14180035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/035/SRR14180035/SRR14180035_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/035/SRR14180035	FR16N_FR222N_pupa
PRJNA720479	SAMN18651830	SRX10548190	SRR14180036	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/036/SRR14180036/SRR14180036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/036/SRR14180036/SRR14180036_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/036/SRR14180036	FR109N_FR158N_pupa
PRJNA720479	SAMN18651824	SRX10548184	SRR14180042	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/042/SRR14180042/SRR14180042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/042/SRR14180042/SRR14180042_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/042/SRR14180042	EG50N_EG55N_pupa
PRJNA720479	SAMN18651820	SRX10548179	SRR14180047	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/047/SRR14180047/SRR14180047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/047/SRR14180047/SRR14180047_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/047/SRR14180047	EG69N_EG70N_pupa
PRJNA720479	SAMN18651816	SRX10548175	SRR14180051	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/051/SRR14180051/SRR14180051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/051/SRR14180051/SRR14180051_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/051/SRR14180051	EF95N_EF59N_pupa
PRJNA720479	SAMN18651814	SRX10548173	SRR14180053	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/053/SRR14180053/SRR14180053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/053/SRR14180053/SRR14180053_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/053/SRR14180053	EF101N_EF74N_pupa
PRJNA720479	SAMN18651812	SRX10548170	SRR14180056	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/056/SRR14180056/SRR14180056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/056/SRR14180056/SRR14180056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/056/SRR14180056	EF117N_EF81N_pupa
PRJNA720479	SAMN18651810	SRX10548168	SRR14180058	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/058/SRR14180058/SRR14180058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/058/SRR14180058/SRR14180058_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/058/SRR14180058	EF122N_EF19N_pupa
PRJNA720479	SAMN18651808	SRX10548166	SRR14180060	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/060/SRR14180060/SRR14180060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/060/SRR14180060/SRR14180060_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/060/SRR14180060	EA87N_EA37N_pupa
PRJNA720479	SAMN18651807	SRX10548165	SRR14180061	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/061/SRR14180061/SRR14180061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/061/SRR14180061/SRR14180061_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/061/SRR14180061	EA93N_EA58N_pupa
PRJNA720479	SAMN18651909	SRX10548164	SRR14180062	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/062/SRR14180062/SRR14180062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/062/SRR14180062/SRR14180062_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/062/SRR14180062	EA2N_parent
PRJNA720479	SAMN18651906	SRX10548161	SRR14180065	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/065/SRR14180065/SRR14180065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/065/SRR14180065/SRR14180065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/065/SRR14180065	SD18N_SP15N
PRJNA720479	SAMN18651769	SRX10548158	SRR14180068	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/068/SRR14180068/SRR14180068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/068/SRR14180068/SRR14180068_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/068/SRR14180068	EF88N_EF43N_larva
PRJNA720479	SAMN18651900	SRX10548154	SRR14180072	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/072/SRR14180072/SRR14180072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/072/SRR14180072/SRR14180072_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/072/SRR14180072	EA126N_EF120N
PRJNA720479	SAMN18651899	SRX10548153	SRR14180073	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/073/SRR14180073/SRR14180073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/073/SRR14180073/SRR14180073_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/073/SRR14180073	EA22N_EF53N
PRJNA720479	SAMN18651896	SRX10548150	SRR14180076	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/076/SRR14180076/SRR14180076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/076/SRR14180076/SRR14180076_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/076/SRR14180076	SP19N_SP1N_adult
PRJNA720479	SAMN18651768	SRX10548147	SRR14180079	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/079/SRR14180079/SRR14180079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/079/SRR14180079/SRR14180079_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/079/SRR14180079	EF95N_EF59N_larva
PRJNA720479	SAMN18651892	SRX10548145	SRR14180081	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/081/SRR14180081/SRR14180081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/081/SRR14180081/SRR14180081_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/081/SRR14180081	SP15N_SP249N_adult
PRJNA720479	SAMN18651891	SRX10548144	SRR14180082	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/082/SRR14180082/SRR14180082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/082/SRR14180082/SRR14180082_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/082/SRR14180082	SP159N_SP87N_adult
PRJNA720479	SAMN18651889	SRX10548142	SRR14180084	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/084/SRR14180084/SRR14180084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/084/SRR14180084/SRR14180084_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/084/SRR14180084	SD114N_SD54N_adult
PRJNA720479	SAMN18651888	SRX10548141	SRR14180085	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/085/SRR14180085/SRR14180085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/085/SRR14180085/SRR14180085_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/085/SRR14180085	SD116N_SD113N_adult
PRJNA720479	SAMN18651886	SRX10548139	SRR14180087	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/087/SRR14180087/SRR14180087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/087/SRR14180087/SRR14180087_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/087/SRR14180087	SD3N_SD145N_adult
PRJNA720479	SAMN18651885	SRX10548138	SRR14180088	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/088/SRR14180088/SRR14180088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/088/SRR14180088/SRR14180088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/088/SRR14180088	SD135N_SD43N_adult
PRJNA720479	SAMN18651883	SRX10548135	SRR14180091	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/091/SRR14180091/SRR14180091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/091/SRR14180091/SRR14180091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR141/091/SRR14180091	SD63N_SD27N_adult
