run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
SRR14180034	SAMN18651832	SRX10548192	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/034/SRR14180034/SRR14180034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/034/SRR14180034/SRR14180034_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/034/SRR14180034	
SRR14180037	SAMN18651829	SRX10548189	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/037/SRR14180037/SRR14180037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/037/SRR14180037/SRR14180037_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/037/SRR14180037	
SRR14180038	SAMN18651828	SRX10548188	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/038/SRR14180038/SRR14180038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/038/SRR14180038/SRR14180038_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/038/SRR14180038	
SRR14180039	SAMN18651827	SRX10548187	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/039/SRR14180039/SRR14180039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/039/SRR14180039/SRR14180039_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/039/SRR14180039	
SRR14180040	SAMN18651826	SRX10548186	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/040/SRR14180040/SRR14180040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/040/SRR14180040/SRR14180040_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/040/SRR14180040	
SRR14180041	SAMN18651825	SRX10548185	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/041/SRR14180041/SRR14180041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/041/SRR14180041/SRR14180041_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/041/SRR14180041	
SRR14180043	SAMN18651761	SRX10548183	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/043/SRR14180043/SRR14180043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/043/SRR14180043/SRR14180043_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/043/SRR14180043	
SRR14180046	SAMN18651821	SRX10548180	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/046/SRR14180046/SRR14180046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/046/SRR14180046/SRR14180046_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/046/SRR14180046	
SRR14180049	SAMN18651818	SRX10548177	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/049/SRR14180049/SRR14180049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/049/SRR14180049/SRR14180049_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/049/SRR14180049	
SRR14180050	SAMN18651817	SRX10548176	PRJNA720479	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/050/SRR14180050/SRR14180050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR141/050/SRR14180050/SRR14180050_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR141/050/SRR14180050	
